"DATAID","ASSIGNMENT","STRING","STRING","STRING","STRING","STRING","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Group","CG2","Compound","SMILES","Formula","Source","Method","CN (Exp)","RotBFrac","TDB3s","MATS1e","VPC-4","ATSC2e","GATS1p","SPC-5","SHBint4","GATS7m","E3m","nwHBa","SpMax6_Bhp","SRW6","SP-6","AATS3e"
"75","L","Alkanes","","n-nonadecane","CCCCCCCCCCCCCCCCCCC","C19H40","NREL (2014)","Unknown","110","0.888888889","4.018184946","-0.036297641","0","-0.141280865","1.552631579","0","0","0.964849624","0.031592411","0","3.003644757","5.82008293","1.222271824","6.972134321"
"76","V","Alkanes","","2-methylhexane","CCCCC(C)C","C7H16","NREL (2014)","IQT","43.5","0.5","4.440612148","-0.103896104","0.288675135","-0.025285112","1.642857143","0.204124145","0","0","0.031041073","0","1.483982621","4.795790546","0","6.986332741"
"77","V","Alkanes","","n-pentane","CCCCC","C5H12 ","NREL (2014)","20% Blend, CFR","30","0.5","3.982947868","-0.15","0","-0.034712346","1.7","0","0","0","0.033179693","0","0.399277246","4.043051268","0","6.919365556"
"78","V","Alkanes","","n-pentadecane","CCCCCCCCCCCCCCC","C15H32","NREL (2014)","Unknown","96","0.857142857","4.020149458","-0.046376812","0","-0.110077025","1.566666667","0","0","0.95087963","0.031749859","0","2.72622752","5.549076085","0.868718434","6.967826667"
"79","V","Alkanes","","2-methylheptane","CCCCCC(C)C","C8H18","NREL (2014)","IQT","49.8","0.571428571","4.384774966","-0.09","0.288675135","-0.032697207","1.625","0.204124145","0","1.00308642","0.031795139","0","1.763065027","4.94875989","0.288675135","6.986458222"
"80","V","Alkanes","","3-methylpentane","CCC(C)CC","C6H14","NREL (2014)","Unknown","30","0.4","4.531412822","-0.122807018","0.577350269","-0.01802416","1.666666667","0.288675135","0","0","0.032060398","0","1.15673493","4.672828834","0","6.986684089"
"81","V","Alkanes","","4-propyldecane","CCCCCCC(CCC)CCC","C13H28","NREL (2014)","Unknown","39","0.75","4.156003073","-0.053846154","0.433012702","-0.070851726","1.576923077","0.696923425","0","0.901098901","0.075436475","0","2.466136869","5.533389489","0.73919892","6.987211111"
"82","V","Alkanes","","n-undecane","CCCCCCCCCCC","C11H24","NREL (2014)","20% Blend, CFR","81","0.8","4.018403053","-0.064171123","0","-0.07916304","1.590909091","0","0","0.918209877","0.032019449","0","2.251041483","5.176149733","0.515165043","6.960072889"
"83","V","Alkanes","","n-tridecane","CCCCCCCCCCCCC","C13H28","NREL (2014)","Unknown","90","0.833333333","4.02089767","-0.053846154","0","-0.094567726","1.576923077","0","0","0.938644689","0.031864587","0","2.520734603","5.379897354","0.691941738","6.964595926"
"84","V","Alkanes","","2,2,4-trimethylpentane","CC(C)CC(C)(C)C","C8H18","NREL (2014)","IQT","18","0.285714286","5.430892747","-0.09","0.816496581","0.038450793","1.625","2.041241452","0","0","0.1090185","0","2.286022252","5.416100402","0","7.100506222"
"85","V","Alkanes","","8-propylpentadecane","CCCCCCCC(CCC)CCCCCCC","C18H38","NREL (2014)","Unknown","48","0.823529412","4.119981829","-0.038383838","0.433012702","-0.109747","1.555555556","0.65464793","0","0.969379467","0.031984545","0","2.944431156","5.866468057","1.247980765","6.987211111"
